borough,year,actual,rf_pred,xgb_pred,rf_error,xgb_error,rf_abs_error,xgb_abs_error
Barking and Dagenham,2024,411300000.0,378559131.2830687,405061920.0,32740868.716931283,6238080.0,32740868.716931283,6238080.0
Barnet,2024,1052100000.0,1041347649.3867246,1048207700.0,10752350.613275409,3892320.0,10752350.613275409,3892320.0
Bexley,2024,621000000.0,591009916.6666664,621240640.0,29990083.33333361,-240640.0,29990083.33333361,240640.0
Brent,2024,600800000.0,599454765.8730153,610916740.0,1345234.1269847155,-10116736.0,1345234.1269847155,10116736.0
Bromley,2024,891300000.0,854715857.010582,890044500.0,36584142.98941803,1255520.0,36584142.98941803,1255520.0
Camden,2024,277800000.0,270530325.1322753,273747300.0,7269674.867724717,4052704.0,7269674.867724717,4052704.0
City of London,2024,74100000.0,77262842.11760455,74268130.0,-3162842.1176045537,-168128.0,3162842.1176045537,168128.0
Croydon,2024,843600000.0,805233098.9357865,837363140.0,38366901.064213514,6236864.0,38366901.064213514,6236864.0
Ealing,2024,788200000.0,797562788.3597882,801445700.0,-9362788.35978818,-13245696.0,9362788.35978818,13245696.0
Enfield,2024,1109800000.0,1054171185.2513226,1094864900.0,55628814.74867737,14935104.0,55628814.74867737,14935104.0
Greenwich,2024,754800000.0,721717804.9603175,748330050.0,33082195.039682508,6469952.0,33082195.039682508,6469952.0
Hackney,2024,274000000.0,268127289.08730158,274989120.0,5872710.912698418,-989120.0,5872710.912698418,989120.0
Hammersmith and Fulham,2024,301200000.0,292662346.0317461,292453900.0,8537653.96825391,8746112.0,8537653.96825391,8746112.0
Haringey,2024,321400000.0,308600271.4947088,317010620.0,12799728.505291224,4389376.0,12799728.505291224,4389376.0
Harrow,2024,406500000.0,391994400.00000006,402197950.0,14505599.99999994,4302048.0,14505599.99999994,4302048.0
Havering,2024,1130000000.0,1045310056.6798944,1121019300.0,84689943.32010555,8980736.0,84689943.32010555,8980736.0
Hillingdon,2024,1465000000.0,1404217473.1481483,1432922400.0,60782526.8518517,32077632.0,60782526.8518517,32077632.0
Hounslow,2024,1029600000.0,1038317106.2409812,1044380200.0,-8717106.240981221,-14780224.0,8717106.240981221,14780224.0
Islington,2024,225200000.0,218717034.65608466,226983760.0,6482965.343915343,-1783760.0,6482965.343915343,1783760.0
Kensington and Chelsea,2024,309500000.0,302585371.89153427,305544130.0,6914628.108465731,3955872.0,6914628.108465731,3955872.0
Kingston upon Thames,2024,596400000.0,585453177.6455026,595015360.0,10946822.354497433,1384640.0,10946822.354497433,1384640.0
Lambeth,2024,452800000.0,460652911.5740742,470949900.0,-7852911.574074209,-18149888.0,7852911.574074209,18149888.0
Lewisham,2024,448100000.0,449569836.70634925,443514940.0,-1469836.7063492537,4585056.0,1469836.7063492537,4585056.0
Merton,2024,404400000.0,389428031.0846561,400724800.0,14971968.91534388,3675200.0,14971968.91534388,3675200.0
Newham,2024,595600000.0,552612727.1825393,569142000.0,42987272.817460656,26457984.0,42987272.817460656,26457984.0
Redbridge,2024,719000000.0,717987899.825637,722707650.0,1012100.1743630171,-3707648.0,1012100.1743630171,3707648.0
Richmond upon Thames,2024,507800000.0,505860726.52116406,515442270.0,1939273.4788359404,-7642272.0,1939273.4788359404,7642272.0
Southwark,2024,430200000.0,434096310.97883576,436102140.0,-3896310.9788357615,-5902144.0,3896310.9788357615,5902144.0
Sutton,2024,461800000.0,456312789.55026454,466622240.0,5487210.449735463,-4822240.0,5487210.449735463,4822240.0
Tower Hamlets,2024,520100000.0,502647301.9179893,517783650.0,17452698.082010686,2316352.0,17452698.082010686,2316352.0
Waltham Forest,2024,498400000.0,485865393.5185187,492525630.0,12534606.481481314,5874368.0,12534606.481481314,5874368.0
Wandsworth,2024,457300000.0,451212923.478836,456926660.0,6087076.521164,373344.0,6087076.521164,373344.0
Westminster,2024,453300000.0,448848936.1772488,450324900.0,4451063.822751224,2975104.0,4451063.822751224,2975104.0
